x0 = $(-1, 0)^T$, eps = 1e-07, penaltyExporent = 2
startPenaltyCoef	iter	fCount	restriction_value	grad.norm()
12.2	1	15356	1.106121506e-09	26.97775294
12.3	1	14492	3.438647234e-09	27.17923403
12.4	1	12959	1.990090581e-09	27.38195461
12.5	1	12573	2.217304118e-09	27.58586567
12.6	1	15741	5.497714284e-10	27.79096011
12.7	1	446	5.516756829e-10	27.99718658
12.8	1	446	5.04445552e-10	28.20455795
12.9	1	14973	2.290726941e-09	28.41300859
13	1	13341	5.645226508e-10	28.62254907
13.1	1	426	6.284259824e-09	28.83313407
13.2	1	428	5.288558924e-09	29.04473103
13.3	1	15735	5.802375025e-10	29.25735265
13.4	1	12567	9.414039326e-10	29.47095808
13.5	1	14963	2.7700362e-09	29.68551021
13.6	1	11409	3.749059729e-09	29.90102008
13.7	1	14855	2.636492757e-09	21.56420138
13.8	1	1296	1.309417135e-08	30.13413485
13.9	1	13994	1.7208915e-08	29.86780954
14	1	4547	1.733034516e-08	29.60287212
14.1	1	317	1.745358231e-08	29.33939574
14.2	1	14386	1.190862875e-08	29.07739082
