x0 = $(-1, 0)^T$, eps = 1e-07, penaltyExporent = 0.5
startPenaltyCoef	iter	fCount	restriction_value	grad.norm()
5.8	13	26598	9.867970765e-08	0.9764673752
5.9	14	41407	5.262512816e-08	0.9763728547
6	14	37103	5.34550539e-08	0.97637478
6.1	14	38656	5.428484868e-08	0.976376669
6.2	14	35872	5.511313199e-08	0.9763785432
6.3	14	48200	5.594039992e-08	0.9763804128
6.4	14	46110	5.676701979e-08	0.97638227
6.5	14	43977	5.759243585e-08	0.976384101
6.6	14	34811	5.841712389e-08	0.9763859503
6.7	14	35129	5.924098768e-08	0.9763877597
6.8	14	51814	6.006339794e-08	0.9763895976
6.9	14	35616	6.088502501e-08	0.9763913843
7	14	34654	6.170627657e-08	0.9763931824
7.1	14	49489	6.252605222e-08	0.9763949646
7.2	14	49007	6.334550997e-08	0.9763967309
7.3	14	42654	6.416373203e-08	0.9763984972
7.4	14	34936	6.498125972e-08	0.9764002828
7.5	14	35785	6.579777714e-08	0.9764020173
7.6	14	34314	6.661382249e-08	0.9764037438
7.7	14	34814	6.742888568e-08	0.9764054783
7.8	14	34948	6.824294337e-08	0.9764071855
7.9	14	34673	6.905666795e-08	0.9764089234
8	14	34632	6.98692245e-08	0.9764106261
8.1	14	40446	7.068131297e-08	0.9764123015
8.2	14	56400	7.14920706e-08	0.9764139997
8.3	14	34767	7.230278622e-08	0.9764156626
8.4	14	35776	7.311263075e-08	0.976417338
8.5	14	34616	7.392171669e-08	0.9764190203
8.6	14	41224	7.472981916e-08	0.9764206594
8.7	14	34460	7.553754658e-08	0.9764223109
8.8	14	44473	7.634395177e-08	0.9764239534
8.9	14	34821	7.715051493e-08	0.9764255891
9	14	39506	7.795609352e-08	0.9764272236
9.1	14	47285	7.876070402e-08	0.9764288389
9.2	14	52871	7.956524528e-08	0.9764304621
9.3	14	40384	8.036839832e-08	0.9764320773
9.4	14	35771	8.11710283e-08	0.9764336687
9.5	14	35152	8.197294466e-08	0.9764352566
9.6	14	36482	8.277513938e-08	0.9764368435
9.7	14	37768	8.357542005e-08	0.9764384428
9.8	14	35831	8.437551664e-08	0.9764400103
9.9	14	35925	8.51755947e-08	0.9764415938
10	14	36821	8.597464414e-08	0.9764431374
10.1	14	37287	8.677290168e-08	0.9764446891
10.2	14	25913	8.757059291e-08	0.9764462407
10.3	14	23511	8.83678044e-08	0.9764478071
10.4	14	25077	8.916479102e-08	0.976449336
10.5	14	28060	8.996068164e-08	0.9764508592
10.6	14	24107	9.075603965e-08	0.9764523916
10.7	14	25853	9.155098455e-08	0.9764539194
10.8	14	24294	9.234541765e-08	0.9764554426
10.9	14	24914	9.313892145e-08	0.9764569351
11	14	39245	9.393196902e-08	0.976458455
11.1	14	26655	9.472477329e-08	0.976459943
11.2	14	35699	9.55167456e-08	0.9764614549
11.3	14	25081	9.630832145e-08	0.976462935
11.4	14	23620	9.709928291e-08	0.976464423
11.5	14	37013	9.788962121e-08	0.9764659031
11.6	14	27344	9.867970765e-08	0.9764673752
11.7	14	26297	9.946916738e-08	0.9764688553
11.8	15	39721	5.262512816e-08	0.9763728547
11.9	15	36591	5.304020521e-08	0.9763738174
12	15	38001	5.34550539e-08	0.97637478
12.1	15	36786	5.387018574e-08	0.9763757109
12.2	15	39557	5.428484868e-08	0.976376669
12.3	15	36280	5.469924762e-08	0.9763776078
12.4	15	36889	5.511313199e-08	0.9763785432
12.5	15	46641	5.552682852e-08	0.976379474
12.6	15	50399	5.594039992e-08	0.9763804128
12.7	15	38312	5.635374084e-08	0.9763813278
12.8	15	37287	5.676701979e-08	0.97638227
12.9	15	42059	5.717987204e-08	0.9763832009
13	15	40148	5.759243585e-08	0.976384101
13.1	15	39520	5.800486189e-08	0.9763850353
13.2	15	35712	5.841712389e-08	0.9763859503
13.3	15	41819	5.882913161e-08	0.9763868572
13.4	15	36028	5.924098768e-08	0.9763877597
13.5	15	66909	5.965180741e-08	0.9763886792
13.6	15	43691	6.006339794e-08	0.9763895976
13.7	15	47317	6.047413457e-08	0.9763904932
